name,surname,gender,age,married,children,email,phone,work,salary,creditcard,expenditures,car,carcolor
Agathe,Stroud,Female,60,false,6,astroud0@symantec.com,871 685 066,Information Systems Manager,11110,true,7777,Toyota,Green
Guglielma,Bewick,Female,41,true,0,gbewick1@pbs.org,878 181 171,VP Marketing,12660,true,10128,Ford,Indigo
Horacio,Brookesbie,Male,27,false,3,hbrookesbie2@mayoclinic.com,821 982 470,VP Accounting,9310,false,3724,Ford,Violet
Lucretia,Snasdell,Male,40,false,1,lsnasdell3@sogou.com,893 236 138,Systems Administrator IV,14340,true,4302,Chevrolet,Red
Genvieve,Wintringham,Female,22,true,6,gwintringham4@ft.com,894 231 658,Design Engineer,9720,true,4860,Pontiac,Khaki
Melitta,Borham,Female,40,false,2,mborham5@netvibes.com,896 325 428,VP Marketing,16450,true,6580,Mercedes-Benz,Blue
Elene,Kieran,Male,43,false,3,ekieran6@google.co.jp,603 182 893,Recruiter,15460,true,6184,Chrysler,Violet
Eldon,Kneebone,Male,60,true,0,ekneebone7@networkadvertising.org,863 850 997,Food Chemist,6070,true,2428,Jaguar,Aquamarine
Onofredo,Estable,Male,48,false,0,oestable8@cbsnews.com,668 962 545,Senior Editor,6050,true,4235,Nissan,Goldenrod
Opalina,Nuschke,Female,35,false,5,onuschke9@psu.edu,821 031 858,General Manager,10760,true,9684,Dodge,Khaki
Erinna,Hould,Female,40,true,4,ehoulda@theatlantic.com,868 206 628,Compensation Analyst,2190,true,1971,GMC,Aquamarine
Louise,Bearham,Male,21,true,3,lbearhamb@sogou.com,651 293 272,Chief Design Engineer,2010,true,1005,Audi,Purple
Tawsha,Garfoot,Female,46,false,6,tgarfootc@java.com,852 843 280,Geological Engineer,10610,true,9549,GMC,Aquamarine
Debi,Corter,Male,45,false,5,dcorterd@ezinearticles.com,586 263 970,Research Associate,16680,false,13344,Honda,Aquamarine
Lyn,Maty,Male,28,false,0,lmatye@nature.com,897 169 289,VP Quality Control,16300,false,9780,Oldsmobile,Violet
Gayle,De Ferraris,Female,27,true,3,gdeferrarisf@homestead.com,895 152 378,Director of Sales,9910,false,2973,Toyota,Khaki
Augy,Ashton,Female,37,true,2,aashtong@senate.gov,814 868 676,Budget/Accounting Analyst IV,3480,true,2088,Mercedes-Benz,Khaki
Saba,Lowrey,Male,27,false,3,slowreyh@state.gov,834 952 984,Engineer IV,8650,true,1730,Volkswagen,Orange
Jilli,Mateos,Male,52,false,3,jmateosi@google.co.uk,598 778 381,Nurse,7190,false,4314,Aston Martin,Teal
